"itemName","itemType","itemTypeIndex","rareza","price","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza","nivel","price_scaled","hp_scaled","mana_scaled","ataque_scaled","defensa_scaled","velocidadAtaque_scaled","ataqueCritico_scaled","danoCritico_scaled","suerte_scaled","destreza_scaled","nivel_scaled","asset_path","guid"
"Arma de Roma Honor","Arma","3","Epico","1044","0","0","29160","0","36","8","102","0","0","1","141","0","0","5","0","109","311","323","0","0","1","Assets\Items\Heroe Arma II.asset","a3890519217643419b8a35996091b9ac"
"Arma de Roma Virtus","Arma","3","Epico","870","0","0","19440","0","34","7","96","0","0","1","115","0","0","4","0","101","267","301","0","0","1","Assets\Items\Heroe Arma I.asset","b46f7fd40b2d43019b796b51d76054c6"
"Arma de Speculator Occultus","Arma","3","Etereo","714","0","0","116640","0","44","10","126","0","0","1","91","0","0","17","0","142","400","409","0","0","1","Assets\Items\Fantasma Arma III.asset","b05a1d69749a4221aa66a03d112d9b01"
"Arma de Speculator Silentium","Arma","3","Etereo","612","0","0","87480","0","42","9","120","0","0","1","76","0","0","13","0","134","356","387","0","0","1","Assets\Items\Fantasma Arma II.asset","262da55d090f4be4b14f986964ae6c91"
"Arma de Speculator Umbra","Arma","3","Etereo","510","0","0","58320","0","40","8","114","0","0","1","60","0","0","9","0","126","311","366","0","0","1","Assets\Items\Fantasma Arma I.asset","234f6fc2fa2d4038a46330d9029a68ae"
"Arma de Tiro Imperium","Arma","3","Comun","210","0","0","480","0","14","2","36","0","0","1","15","0","0","1","0","18","45","87","0","0","1","Assets\Items\Aprendiz Arma III.asset","2401a2a0b6c54ef7a81a638dd8185b8e"
"Arma de Tiro Rudimentum","Arma","3","Comun","150","0","0","240","0","10","1","24","0","0","1","6","0","0","1","0","1","1","44","0","0","1","Assets\Items\Aprendiz Arma I.asset","33fed41b037e48ecbcab24bfb66837e8"
"Arma de Tiro Veteranum","Arma","3","Comun","180","0","0","360","0","12","2","30","0","0","1","10","0","0","1","0","9","45","65","0","0","1","Assets\Items\Aprendiz Arma II.asset","0e47a92c31e444ac86ea61e646c44d4c"
"Arma de Ultima Roma Aeternitas","Arma","3","Extremo","2562","0","0","9447","0","68","16","198","0","0","1","372","0","0","2","0","242","666","666","0","0","1","Assets\Items\Apocalipsis Arma III.asset","4dc967c2cba14c33aec4d847406ae26d"
"Arma de Ultima Roma Cataclysmus","Arma","3","Extremo","2196","0","0","7085","0","66","15","192","0","0","1","316","0","0","2","0","234","622","645","0","0","1","Assets\Items\Apocalipsis Arma II.asset","5899c7a12c374f3e8a9e3e472ef7341e"
"Arma de Ultima Roma Exitium","Arma","3","Extremo","1830","0","0","4723","0","64","14","186","0","0","1","261","0","0","2","0","225","577","623","0","0","1","Assets\Items\Apocalipsis Arma I.asset","26e1af6ad02943d180d48af65ba7c3f0"
"Armadura de Augur Omen","Armadura","4","Magico","312","2250","0","0","360","0","0","0","0","0","1","30","1","0","0","1","0","0","0","0","0","1","Assets\Items\Arcano Armadura I.asset","11354a6c2a164e46ab8437436ee97271"
"Armadura de Augur Oraculum","Armadura","4","Magico","437","4500","0","0","720","0","0","0","0","0","1","49","1","0","0","1","0","0","0","0","0","1","Assets\Items\Arcano Armadura III.asset","5a7e9ad931554b85bdd12295d443b69a"
"Armadura de Augur Ritus","Armadura","4","Magico","374","3375","0","0","540","0","0","0","0","0","1","40","1","0","0","1","0","0","0","0","0","1","Assets\Items\Arcano Armadura II.asset","aa61a1e255ef44b8a2655844d737ad72"
"Armadura de Colossus Colossus","Armadura","4","Legendario","840","1093500","0","0","174960","0","0","0","0","0","1","110","38","0","0","26","0","0","0","0","0","1","Assets\Items\Titan Armadura III.asset","8f247fbc2ff44fc4a607fca5b338f440"
"Armadura de Colossus Moles","Armadura","4","Legendario","600","546750","0","0","87480","0","0","0","0","0","1","74","19","0","0","13","0","0","0","0","0","1","Assets\Items\Titan Armadura I.asset","bc891e4a9fae46848487f996fa9da676"
"Armadura de Colossus Titanus","Armadura","4","Legendario","720","820125","0","0","131220","0","0","0","0","0","1","92","29","0","0","19","0","0","0","0","0","1","Assets\Items\Titan Armadura II.asset","1a30da165954402eb8ae1f286d2a9b66"
"Armadura de Explorator Peregrinus","Armadura","4","Raro","216","6750","0","0","1080","0","0","0","0","0","1","16","1","0","0","1","0","0","0","0","0","1","Assets\Items\Cazador Armadura I.asset","153aef5849b04d81808006bbfba94658"
"Armadura de Explorator Praedator","Armadura","4","Raro","302","13500","0","0","2160","0","0","0","0","0","1","29","1","0","0","1","0","0","0","0","0","1","Assets\Items\Cazador Armadura III.asset","976886b6f68b4bada711cbe79b818c8b"
"Armadura de Explorator Venator","Armadura","4","Raro","259","10125","0","0","1620","0","0","0","0","0","1","22","1","0","0","1","0","0","0","0","0","1","Assets\Items\Cazador Armadura II.asset","76969b3a67f341b1a3142c2b520bf458"
"Armadura de Infernum Abyssus","Armadura","4","Demoniaco","2285","98415","0","0","1574","0","0","0","0","0","1","330","4","0","0","1","0","0","0","0","0","1","Assets\Items\Abismo Armadura III.asset","94c35ed621a542d1a43feff6a56b5d84"
"Armadura de Infernum Inferus","Armadura","4","Comun","1958","7381","0","0","1180","0","0","0","0","0","1","280","1","0","0","1","0","0","0","0","0","1","Assets\Items\Abismo Armadura II.asset","c0cd16cb19b0460397c5f632252cc98b"
"Armadura de Infernum Limbus","Armadura","4","Demoniaco","1632","4920","0","0","787","0","0","0","0","0","1","231","1","0","0","1","0","0","0","0","0","1","Assets\Items\Abismo Armadura I.asset","a1b70daba99b4808bfa7b2a34bf08d25"
"Armadura de Legionarius Centuria","Armadura","4","Excelente","605","30375","0","0","4860","0","0","0","0","0","1","75","2","0","0","2","0","0","0","0","0","1","Assets\Items\Conquistador Armadura II.asset","57798834ec864977a4fed5cc2a041946"
"Armadura de Legionarius Cohors","Armadura","4","Excelente","504","20250","0","0","3240","0","0","0","0","0","1","59","2","0","0","1","0","0","0","0","0","1","Assets\Items\Conquistador Armadura I.asset","d15f00ee243f41659a15f58380ff9dbf"
"Armadura de Legionarius Legio","Armadura","4","Excelente","706","40500","0","0","6480","0","0","0","0","0","1","90","2","0","0","2","0","0","0","0","0","1","Assets\Items\Conquistador Armadura III.asset","b52294f534394f7fb456a253b00012ff"
"Armadura de Pontifex Divinus","Armadura","4","Celestial","1555","2460375","0","0","393660","0","0","0","0","0","1","219","84","0","0","56","0","0","0","0","0","1","Assets\Items\Serafin Armadura II.asset","c4a78942980e4a1c9896213836b60a6b"
"Armadura de Pontifex Sacrum","Armadura","4","Celestial","1296","1640250","0","0","262440","0","0","0","0","0","1","180","56","0","0","38","0","0","0","0","0","1","Assets\Items\Serafin Armadura I.asset","a8193cbee1ef45b6b302de04b11bbbd5"
"Armadura de Pontifex Sanctus","Armadura","4","Celestial","1814","3280500","0","0","524880","0","0","0","0","0","1","258","112","0","0","75","0","0","0","0","0","1","Assets\Items\Serafin Armadura III.asset","496a10f35961439da4f141dcde7444e7"
"Armadura de Roma Gloria","Armadura","4","Epico","974","121500","0","0","19440","0","0","0","0","0","1","131","5","0","0","4","0","0","0","0","0","1","Assets\Items\Heroe Armadura III.asset","a8e0e12ef4e44e6f802fa1abe5cc9bd8"
"Armadura de Roma Honor","Armadura","4","Epico","835","91125","0","0","14580","0","0","0","0","0","1","110","4","0","0","3","0","0","0","0","0","1","Assets\Items\Heroe Armadura II.asset","e2cdda04da354178a52b72f2d43787f8"
"Armadura de Roma Virtus","Armadura","4","Epico","696","60750","0","0","9720","0","0","0","0","0","1","88","3","0","0","2","0","0","0","0","0","1","Assets\Items\Heroe Armadura I.asset","8dd732434d26410db52b6845a06dee4f"
"Armadura de Speculator Occultus","Armadura","4","Etereo","571","364500","0","0","58320","0","0","0","0","0","1","69","13","0","0","9","0","0","0","0","0","1","Assets\Items\Fantasma Armadura III.asset","bae0cffcc86540eb83cb5e3fa341f0ea"
"Armadura de Speculator Silentium","Armadura","4","Etereo","490","273375","0","0","43740","0","0","0","0","0","1","57","10","0","0","7","0","0","0","0","0","1","Assets\Items\Fantasma Armadura II.asset","98fec8ed2ab8448b82434a7d9643b686"
"Armadura de Speculator Umbra","Armadura","4","Etereo","408","182250","0","0","29160","0","0","0","0","0","1","45","7","0","0","5","0","0","0","0","0","1","Assets\Items\Fantasma Armadura I.asset","2f6766bfce144033b2c5041904ca0585"
"Armadura de Tiro Imperium","Armadura","4","Comun","168","1500","0","0","240","0","0","0","0","0","1","8","1","0","0","1","0","0","0","0","0","1","Assets\Items\Aprendiz Armadura III.asset","d5b2b2a1245b4c348ee0a15a33cb9997"
"Armadura de Tiro Rudimentum","Armadura","4","Comun","120","750","0","0","120","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","1","Assets\Items\Aprendiz Armadura I.asset","cb8597a1fa4b4ab89bcaf38cd104d2bf"
"Armadura de Tiro Veteranum","Armadura","4","Comun","144","1125","0","0","180","0","0","0","0","0","1","5","1","0","0","1","0","0","0","0","0","1","Assets\Items\Aprendiz Armadura II.asset","252faac49a87488483da8f4a51cd7fcf"
"Armadura de Ultima Roma Aeternitas","Armadura","4","Extremo","2050","2952","0","0","4723920","0","0","0","0","0","1","294","1","0","0","666","0","0","0","0","0","1","Assets\Items\Apocalipsis Armadura III.asset","8549ddc525fc48b197e74d15019be199"
"Armadura de Ultima Roma Cataclysmus","Armadura","4","Extremo","1757","2214","0","0","3542940","0","0","0","0","0","1","250","1","0","0","500","0","0","0","0","0","1","Assets\Items\Apocalipsis Armadura II.asset","b011996278624487b71a058ceb00a3e5"
"Armadura de Ultima Roma Exitium","Armadura","4","Extremo","1464","14762","0","0","2361","0","0","0","0","0","1","205","1","0","0","1","0","0","0","0","0","1","Assets\Items\Apocalipsis Armadura I.asset","55ecb809011e439eb8f76294cb70460d"
"Botas de Augur Omen","Botas","9","Magico","312","750","0","0","120","24","0","0","0","40","1","30","1","0","0","1","59","0","0","0","2","1","Assets\Items\Arcano Botas I.asset","b2def48c9fcb4b308381b9cb71912a25"
"Botas de Augur Oraculum","Botas","9","Magico","437","1500","0","0","240","30","0","0","0","60","1","49","1","0","0","1","84","0","0","0","3","1","Assets\Items\Arcano Botas III.asset","9b08513e27794ad1825b5848e7e6453d"
"Botas de Augur Ritus","Botas","9","Magico","374","1125","0","0","180","27","0","0","0","50","1","40","1","0","0","1","72","0","0","0","2","1","Assets\Items\Arcano Botas II.asset","c09d6a8f92ab4928b8b109f31243aac9"
"Botas de Colossus Colossus","Botas","9","Legendario","840","364500","0","0","58320","75","0","0","0","1920","1","110","13","0","0","9","271","0","0","0","67","1","Assets\Items\Titan Botas III.asset","c18be8172af742e598e0ca13b755aa91"
"Botas de Colossus Moles","Botas","9","Legendario","600","182250","0","0","29160","69","0","0","0","1280","1","74","7","0","0","5","246","0","0","0","45","1","Assets\Items\Titan Botas I.asset","66222ba325d64dbfa7ff32350450a455"
"Botas de Colossus Titanus","Botas","9","Legendario","720","273375","0","0","43740","72","0","0","0","1600","1","92","10","0","0","7","259","0","0","0","56","1","Assets\Items\Titan Botas II.asset","d8d8f72f856844119fe1e3c543bd421a"
"Botas de Explorator Peregrinus","Botas","9","Raro","216","2250","0","0","360","33","0","0","0","80","1","16","1","0","0","1","97","0","0","0","3","1","Assets\Items\Cazador Botas I.asset","8ae0d88ef693498ba0f3e9d07102fdbd"
"Botas de Explorator Praedator","Botas","9","Raro","302","4500","0","0","720","39","0","0","0","120","1","29","1","0","0","1","122","0","0","0","5","1","Assets\Items\Cazador Botas III.asset","3bbec533a5464ff2b0db388994a4f4c9"
"Botas de Explorator Venator","Botas","9","Raro","259","3375","0","0","540","36","0","0","0","100","1","22","1","0","0","1","109","0","0","0","4","1","Assets\Items\Cazador Botas II.asset","21e197021f454e0e873cc61178fea066"
"Botas de Infernum Abyssus","Botas","9","Demoniaco","2285","3280500","0","0","524880","93","0","0","0","7680","1","330","112","0","0","75","346","0","0","0","267","1","Assets\Items\Abismo Botas III.asset","b637634f9fcc452f9061b9c18e06a8e2"
"Botas de Infernum Inferus","Botas","9","Demoniaco","1958","2460375","0","0","393660","90","0","0","0","6400","1","280","84","0","0","56","334","0","0","0","222","1","Assets\Items\Abismo Botas II.asset","353b92fbb7cc4a6198c8355b43c7607e"
"Botas de Infernum Limbus","Botas","9","Demoniaco","1632","1640250","0","0","262440","87","0","0","0","5120","1","231","56","0","0","38","321","0","0","0","178","1","Assets\Items\Abismo Botas I.asset","63c5e1bfd6cb491aba6f1b5e0521294c"
"Botas de Legionarius Centuria","Botas","9","Excelente","605","10125","0","0","1620","45","0","0","0","200","1","75","1","0","0","1","146","0","0","0","8","1","Assets\Items\Conquistador Botas II.asset","2f5faa2317d24f65a6a4beb531ccb3bd"
"Botas de Legionarius Cohors","Botas","9","Excelente","504","6750","0","0","1080","42","0","0","0","160","1","59","1","0","0","1","134","0","0","0","6","1","Assets\Items\Conquistador Botas I.asset","e9b8945dd7294620ab8b38ddf1d97e3b"
"Botas de Legionarius Legio","Botas","9","Excelente","706","13500","0","0","2160","48","0","0","0","240","1","90","1","0","0","1","159","0","0","0","9","1","Assets\Items\Conquistador Botas III.asset","c62f1ea730b74dc59a74544b27b28a7a"
"Botas de Pontifex Divinus","Botas","9","Celestial","1555","820125","0","0","131220","81","0","0","0","3200","1","219","29","0","0","19","296","0","0","0","112","1","Assets\Items\Serafin Botas II.asset","cb85c9b8fd074cba96627e0e5f8805d8"
"Botas de Pontifex Sacrum","Botas","9","Celestial","1296","546750","0","0","87480","78","0","0","0","2560","1","180","19","0","0","13","284","0","0","0","89","1","Assets\Items\Serafin Botas I.asset","49832a4d71c04833ad7979e858bc92ec"
"Botas de Pontifex Sanctus","Botas","9","Celestial","1814","1093500","0","0","174960","84","0","0","0","3840","1","258","38","0","0","26","309","0","0","0","134","1","Assets\Items\Serafin Botas III.asset","e3f644d1dc6d454085ef641e0ac29b5a"
"Botas de Roma Gloria","Botas","9","Epico","974","40500","0","0","6480","57","0","0","0","480","1","131","2","0","0","2","196","0","0","0","17","1","Assets\Items\Heroe Botas III.asset","cfc0909d84304577ae670a03bae91075"
"Botas de Roma Honor","Botas","9","Epico","835","30375","0","0","4860","54","0","0","0","400","1","110","2","0","0","2","184","0","0","0","15","1","Assets\Items\Heroe Botas II.asset","a4bbd431715e4e52af3fac0136d840eb"
"Botas de Roma Virtus","Botas","9","Epico","696","20250","0","0","3240","51","0","0","0","320","1","88","2","0","0","1","171","0","0","0","12","1","Assets\Items\Heroe Botas I.asset","63160134cbe24a319da6b1ef3229bf2c"
"Botas de Speculator Occultus","Botas","9","Etereo","571","121500","0","0","19440","66","0","0","0","960","1","69","5","0","0","4","234","0","0","0","34","1","Assets\Items\Fantasma Botas III.asset","60cd7f9605314e3f817743d2f3626f3f"
"Botas de Speculator Silentium","Botas","9","Etereo","490","91125","0","0","14580","63","0","0","0","800","1","57","4","0","0","3","221","0","0","0","28","1","Assets\Items\Fantasma Botas II.asset","f593bca2bdb44da4ba5ab750937c3cc6"
"Botas de Speculator Umbra","Botas","9","Etereo","408","60750","0","0","9720","60","0","0","0","640","1","45","3","0","0","2","209","0","0","0","23","1","Assets\Items\Fantasma Botas I.asset","0e5228607b0d4b29bccfc12cd4949c09"
"Botas de Tiro Imperium","Botas","9","Comun","168","500","0","0","80","21","0","0","0","30","1","8","1","0","0","1","47","0","0","0","2","1","Assets\Items\Aprendiz Botas III.asset","6bc2aa8d27a4467d986107aed91f0ff3"
"Botas de Tiro Rudimentum","Botas","9","Comun","120","250","0","0","40","15","0","0","0","20","1","1","1","0","0","1","22","0","0","0","1","1","Assets\Items\Aprendiz Botas I.asset","389c7c4553354a469c7afaf021ead331"
"Botas de Tiro Veteranum","Botas","9","Comun","144","375","0","0","60","18","0","0","0","25","1","5","1","0","0","1","34","0","0","0","2","1","Assets\Items\Aprendiz Botas II.asset","140bbd066d2c4eb391af53bede91a2c1"
"Botas de Ultima Roma Aeternitas","Botas","9","Extremo","2050","9841500","0","0","1574640","102","0","0","0","15360","1","294","333","0","0","223","383","0","0","0","533","1","Assets\Items\Apocalipsis Botas III.asset","92fb21c381c34e32a356230ceb1e923b"
"Botas de Ultima Roma Cataclysmus","Botas","9","Extremo","1757","7381125","0","0","1180980","99","0","0","0","12800","1","250","250","0","0","167","371","0","0","0","444","1","Assets\Items\Apocalipsis Botas II.asset","ba43620de9914a93baa5789ed37451ab"
"Botas de Ultima Roma Exitium","Botas","9","Extremo","1464","4920750","0","0","787320","96","0","0","0","10240","1","205","167","0","0","112","358","0","0","0","356","1","Assets\Items\Apocalipsis Botas I.asset","5a1afaba5fa040589c90a8f45b4f1622"
"Casco de Augur Omen","Casco","1","Magico","312","1125","0","0","180","0","0","0","0","50","1","30","1","0","0","1","0","0","0","0","2","1","Assets\Items\Arcano Casco I.asset","0fd1e0ce593d4c6496b960620f267e98"
"Casco de Augur Oraculum","Casco","1","Magico","437","2250","0","0","360","0","0","0","0","75","1","49","1","0","0","1","0","0","0","0","3","1","Assets\Items\Arcano Casco III.asset","054ffea877d8418bb52dbcc417fc6dc9"
"Casco de Augur Ritus","Casco","1","Magico","374","1688","0","0","270","0","0","0","0","62","1","40","1","0","0","1","0","0","0","0","3","1","Assets\Items\Arcano Casco II.asset","860d3272e9124326bc822acbfb2a6da4"
