"File","ItemName","Description"
"Abismo Cinturon III.asset","CinturÃ³n de Infernum Abyssus","El precio de este poder es alto pero la recompensa es absoluta."
"Abismo Collar I.asset","Collar de Infernum Limbus","Un collar forjado en las llamas del abismo con metales prohibidos."
"Abismo Collar II.asset","Collar de Infernum Inferus","Cada gema contiene un fragmento de la oscuridad eterna."
"Abismo Collar III.asset","Collar de Infernum Abyssus","El collar del se\xF1or del abismo, que otorga poder sobre las tinieblas."
"Abismo Escudo I.asset","Escudo de Infernum Limbus","Forjado en las profundidades del infierno con las almas de los condenados."
"Abismo Escudo II.asset","Escudo de Infernum Inferus","Las llamas del infierno arden eternamente dentro de cada pieza de"
"Abismo Escudo III.asset","Escudo de Infernum Abyssus","Solo los mas oscuros y poderosos pueden dominar este equipo del abismo."
"Abismo Guantes I.asset","Guantes de Infernum Limbus","Los demonios mas antiguos temen el poder que emana de este equipo"
"Abismo Guantes II.asset","Guantes de Infernum Inferus","Las llamas del infierno arden eternamente dentro de cada pieza de"
"Abismo Guantes III.asset","Guantes de Infernum Abyssus","Quien lo porte sentira el susurro de mil demonios guiando cada golpe."
"Abismo Montura I.asset","Montura de Infernum Limbus","Un corcel nacido en las profundidades del abismo, donde la luz jamas"
"Abismo Montura II.asset","Montura de Infernum Inferus","La montura demoniaca que se alimenta de la oscuridad eterna."
"Abismo Montura III.asset","Montura de Infernum Abyssus","El corcel del abismo, que lleva a su jinete a las mas oscuras profundidades."
"Apocalipsis Anillo I.asset","Anillo de Ultima Roma Exitium","Un anillo que contiene el poder destructivo del apocalipsis."
"Apocalipsis Anillo II.asset","Anillo de Ultima Roma Cataclysmus","El anillo que puede desatar la destruccion total o el renacimiento."
"Apocalipsis Anillo III.asset","Anillo de Ultima Roma Aeternitas","El anillo del apocalipsis, que otorga el poder de cambiar el destino"
"Apocalipsis Arma I.asset","Arma de Ultima Roma Exitium","Creado para sobrevivir cuando los cuatro jinetes cabalguen sobre la"
"Apocalipsis Arma II.asset","Arma de Ultima Roma Cataclysmus","Forjado para el guerrero que permanecera de pie cuando todo haya caido."
"Apocalipsis Arma III.asset","Arma de Ultima Roma Aeternitas","Quien lo porte tiene el poder de traer el apocalipsis a sus enemigos."
"Apocalipsis Armadura I.asset","Armadura de Ultima Roma Exitium","La destruccion total es el unico lenguaje que este equipo conoce bien."
"Apocalipsis Armadura II.asset","Armadura de Ultima Roma Cataclysmus","La destruccion total es el unico lenguaje que este equipo conoce bien."
"Apocalipsis Armadura III.asset","Armadura de Ultima Roma Aeternitas","Creado para sobrevivir cuando los cuatro jinetes cabalguen sobre la"
"Apocalipsis Botas I.asset","Botas de Ultima Roma Exitium","Forjado para el guerrero que permanecera de pie cuando todo haya caido."
"Apocalipsis Botas II.asset","Botas de Ultima Roma Cataclysmus","Los profetas temblaron al ver las visiones de quien portaria este"
"Apocalipsis Botas III.asset","Botas de Ultima Roma Aeternitas","Los profetas temblaron al ver las visiones de quien portaria este"
"Apocalipsis Casco I.asset","Casco de Ultima Roma Exitium","Creado para sobrevivir cuando los cuatro jinetes cabalguen sobre la"
"Apocalipsis Casco II.asset","Casco de Ultima Roma Cataclysmus","Forjado para el guerrero que permanecera de pie cuando todo haya caido."
"Apocalipsis Casco III.asset","Casco de Ultima Roma Aeternitas","La destruccion total es el unico lenguaje que este equipo conoce bien."
"Apocalipsis Cinturon I.asset","CinturÃ³n de Ultima Roma Exitium","Los profetas temblaron al ver las visiones de quien portaria este"
"Apocalipsis Cinturon II.asset","CinturÃ³n de Ultima Roma Cataclysmus","El fin de todas las cosas comienza cuando este equipo despierta su"
"Apocalipsis Cinturon III.asset","CinturÃ³n de Ultima Roma Aeternitas","Quien lo porte tiene el poder de traer el apocalipsis a sus enemigos."
"Apocalipsis Collar I.asset","Collar de Ultima Roma Exitium","Un collar forjado en el fuego del apocalipsis que arraso con todo."
"Apocalipsis Collar II.asset","Collar de Ultima Roma Cataclysmus","Cada medallon representa una era que termino y otra que comenzo."
"Apocalipsis Collar III.asset","Collar de Ultima Roma Aeternitas","El collar del portador del apocalipsis, s\xEDmbolo del fin y el principio."
"Apocalipsis Escudo I.asset","Escudo de Ultima Roma Exitium","La destruccion total es el unico lenguaje que este equipo conoce bien."
"Apocalipsis Escudo II.asset","Escudo de Ultima Roma Cataclysmus","Forjado en los fuegos del fin del mundo donde todo sera cenizas."
"Apocalipsis Escudo III.asset","Escudo de Ultima Roma Aeternitas","Quien lo porte tiene el poder de traer el apocalipsis a sus enemigos."
"Apocalipsis Guantes I.asset","Guantes de Ultima Roma Exitium","Quien lo porte tiene el poder de traer el apocalipsis a sus enemigos."
"Apocalipsis Guantes II.asset","Guantes de Ultima Roma Cataclysmus","Forjado en los fuegos del fin del mundo donde todo sera cenizas."
"Apocalipsis Guantes III.asset","Guantes de Ultima Roma Aeternitas","Los profetas temblaron al ver las visiones de quien portaria este"
"Apocalipsis Montura I.asset","Montura de Ultima Roma Exitium","El corcel del fin de los tiempos, que presencio la caida de civilizaciones."
"Apocalipsis Montura II.asset","Montura de Ultima Roma Cataclysmus","La montura apocaliptica que cabalga sobre las cenizas del mundo."
"Apocalipsis Montura III.asset","Montura de Ultima Roma Aeternitas","El corcel del apocalipsis, heraldo de la destruccion y el renacimiento."
"Aprendiz Anillo I.asset","Anillo de Tiro Rudimentum",""
"Aprendiz Anillo II.asset","Anillo de Tiro Veteranum",""
"Aprendiz Anillo III.asset","Anillo de Tiro Imperium",""
"Aprendiz Arma I.asset","Arma de Tiro Rudimentum","Todo gran heroe empezo con equipo modesto como este en sus manos."
"Aprendiz Arma II.asset","Arma de Tiro Veteranum","Creado con materiales basicos pero con el corazon de un verdadero"
"Aprendiz Arma III.asset","Arma de Tiro Imperium","La simplicidad es la madre de la eficacia en el campo de batalla."
"Aprendiz Armadura I.asset","Armadura de Tiro Rudimentum","Sencillo pero efectivo, ideal para quienes buscan comenzar su aventura."
"Aprendiz Armadura II.asset","Armadura de Tiro Veteranum","La simplicidad es la madre de la eficacia en el campo de batalla."
"Aprendiz Armadura III.asset","Armadura de Tiro Imperium","La simplicidad es la madre de la eficacia en el campo de batalla."
"Aprendiz Botas I.asset","Botas de Tiro Rudimentum","Resistente y practico, perfecto para enfrentar los primeros desafios"
"Aprendiz Botas II.asset","Botas de Tiro Veteranum","La simplicidad es la madre de la eficacia en el campo de batalla."
"Aprendiz Botas III.asset","Botas de Tiro Imperium","El primer paso de todo heroe comienza con equipo humilde pero confiable."
"Aprendiz Casco I.asset","Casco de Tiro Rudimentum","Sencillo pero efectivo, ideal para quienes buscan comenzar su aventura."
"Aprendiz Casco II.asset","Casco de Tiro Veteranum","La simplicidad es la madre de la eficacia en el campo de batalla."
"Aprendiz Casco III.asset","Casco de Tiro Imperium","Forjado por herreros novatos para guerreros que inician su camino."
"Aprendiz Cinturon I.asset","CinturÃ³n de Tiro Rudimentum","La simplicidad es la madre de la eficacia en el campo de batalla."
"Aprendiz Cinturon II.asset","CinturÃ³n de Tiro Veteranum","Creado con materiales basicos pero con el corazon de un verdadero"
"Aprendiz Cinturon III.asset","CinturÃ³n de Tiro Imperium","Sencillo pero efectivo, ideal para quienes buscan comenzar su aventura."
"Aprendiz Collar  I.asset","Collar de Tiro Rudimentum",""
"Aprendiz Collar II.asset","Collar de Tiro Veteranum",""
"Aprendiz Collar III.asset","Collar de Tiro Imperium",""
"Aprendiz Escudo I.asset","Escudo de Tiro Rudimentum","El primer paso de todo heroe comienza con equipo humilde pero confiable."
"Aprendiz Escudo II.asset","Escudo de Tiro Veteranum","Todo gran heroe empezo con equipo modesto como este en sus manos."
"Aprendiz Escudo III.asset","Escudo de Tiro Imperium","Resistente y practico, perfecto para enfrentar los primeros desafios"
"Aprendiz Guantes I.asset","Guantes de Tiro Rudimentum","Forjado por herreros novatos para guerreros que inician su camino."
"Aprendiz Guantes II.asset","Guantes de Tiro Veteranum","Resistente y practico, perfecto para enfrentar los primeros desafios"
"Aprendiz Guantes III.asset","Guantes de Tiro Imperium","Todo gran heroe empezo con equipo modesto como este en sus manos."
"Aprendiz Montura I.asset","Montura de Tiro Rudimentum",""
"Aprendiz Montura II.asset","Montura de Tiro Veteranum",""
"Aprendiz Montura III.asset","Montura de Tiro Imperium",""
"Arcano Anillo I.asset","Anillo de Augur Omen","Un anillo que canaliza las energias arcanas del mundo."
"Arcano Anillo II.asset","Anillo de Augur Ritus","""El poder m\xE1gico fluye a trav\xE9s de este anillo como un rio de"
"Arcano Anillo III.asset","Anillo de Augur Oraculum","El anillo arcano supremo, que otorga dominio sobre las fuerzas m\xE1gicas."
"Arcano Arma I.asset","Arma de Augur Omen","Imbuido con esencia magica que fluye desde los antiguos cristales"
"Arcano Arma II.asset","Arma de Augur Ritus","Runas brillantes recorren su superficie canalizando energia mistica"
"Arcano Arma III.asset","Arma de Augur Oraculum","Los hechiceros de la torre alta crearon este equipo con magia ancestral."
"Arcano Armadura I.asset","Armadura de Augur Omen","Creado para aquellos que dominan las artes arcanas con maestria absoluta."
"Arcano Armadura II.asset","Armadura de Augur Ritus","Creado para aquellos que dominan las artes arcanas con maestria absoluta."
"Arcano Armadura III.asset","Armadura de Augur Oraculum","Cada pieza resuena con el poder de mil conjuros antiguos olvidados."
"Arcano Botas I.asset","Botas de Augur Omen","Cada pieza resuena con el poder de mil conjuros antiguos olvidados."
"Arcano Botas II.asset","Botas de Augur Ritus","Creado para aquellos que dominan las artes arcanas con maestria absoluta."
"Arcano Botas III.asset","Botas de Augur Oraculum","Runas brillantes recorren su superficie canalizando energia mistica"
"Arcano Casco I.asset","Casco de Augur Omen","Los hechiceros de la torre alta crearon este equipo con magia ancestral."
"Arcano Casco II.asset","Casco de Augur Ritus","Cada pieza resuena con el poder de mil conjuros antiguos olvidados."
"Arcano Casco III.asset","Casco de Augur Oraculum","Los hechiceros de la torre alta crearon este equipo con magia ancestral."
"Arcano Cinturon I.asset","CinturÃ³n de Augur Omen","Imbuido con esencia magica que fluye desde los antiguos cristales"
"Arcano Cinturon II.asset","CinturÃ³n de Augur Ritus","Cada pieza resuena con el poder de mil conjuros antiguos olvidados."
"Arcano Cinturon III.asset","CinturÃ³n de Augur Oraculum","Forjado en los hornos arcanos donde la magia y el metal se fusionan."
"Arcano Collar I.asset","Collar de Augur Omen","Un collar que pulsa con la energia arcana del universo."
"Arcano Collar II.asset","Collar de Augur Ritus","Cada gema a\xF1adida amplifica el poder m\xE1gico del portador."
"Arcano Collar III.asset","Collar de Augur Oraculum","El collar del archimago, que concentra las fuerzas arcanas del cosmos."
"Arcano Escudo I.asset","Escudo de Augur Omen","Creado para aquellos que dominan las artes arcanas con maestria absoluta."
"Arcano Escudo II.asset","Escudo de Augur Ritus","Los magos mas sabios reconocen el aura que emana de este equipo."
"Arcano Escudo III.asset","Escudo de Augur Oraculum","Runas brillantes recorren su superficie canalizando energia mistica"
"Arcano Guantes I.asset","Guantes de Augur Omen","Los magos mas sabios reconocen el aura que emana de este equipo."
"Arcano Guantes II.asset","Guantes de Augur Ritus","Los magos mas sabios reconocen el aura que emana de este equipo."
"Arcano Guantes III.asset","Guantes de Augur Oraculum","Los hechiceros de la torre alta crearon este equipo con magia ancestral."
"Arcano Montura I.asset","Montura de Augur Omen","Un corcel infundido con magia arcana que puede atravesar dimensiones."
"Arcano Montura II.asset","Montura de Augur Ritus","""La montura m\xE1gica que responde a los pensamientos de su jinete"
"Arcano Montura III.asset","Montura de Augur Oraculum","El corcel arcano que ha viajado entre planos de existencia."
"Cazador Anillo I.asset","Anillo de Explorator Peregrinus","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Anillo II.asset","Anillo de Explorator Venator","Los cazadores veteranos reconocen al instante el valor de estas piezas."
"Cazador Anillo III.asset","Anillo de Explorator Praedator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Arma I.asset","Arma de Explorator Peregrinus","Usado por cazadores de bestias que acechan en los bosques oscuros."
"Cazador Arma II.asset","Arma de Explorator Venator","Manchado con la sangre de criaturas que otros no se atreven enfrentar."
"Cazador Arma III.asset","Arma de Explorator Praedator","Usado por cazadores de bestias que acechan en los bosques oscuros."
"Cazador Armadura I.asset","Armadura de Explorator Peregrinus","Cada marca en este equipo cuenta la historia de una presa caida."
"Cazador Armadura II.asset","Armadura de Explorator Venator","Manchado con la sangre de criaturas que otros no se atreven enfrentar."
"Cazador Armadura III.asset","Armadura de Explorator Praedator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Botas I.asset","Botas de Explorator Peregrinus","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Botas II.asset","Botas de Explorator Venator","Cada marca en este equipo cuenta la historia de una presa caida."
"Cazador Botas III.asset","Botas de Explorator Praedator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Casco I.asset","Casco de Explorator Peregrinus","Perfecto para rastrear y eliminar las amenazas que acechan en la oscuridad."
"Cazador Casco II.asset","Casco de Explorator Venator","Cada marca en este equipo cuenta la historia de una presa caida."
"Cazador Casco III.asset","Casco de Explorator Praedator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Cinturon I.asset","CinturÃ³n de Explorator Peregrinus","Forjado para aquellos que cazan monstruos bajo la luz de la luna."
"Cazador Cinturon II.asset","CinturÃ³n de Explorator Venator","Manchado con la sangre de criaturas que otros no se atreven enfrentar."
"Cazador Cinturon III.asset","CinturÃ³n de Explorator Praedator","Manchado con la sangre de criaturas que otros no se atreven enfrentar."
"Cazador Collar I.asset","Collar de Explorator Peregrinus","Los cazadores veteranos reconocen al instante el valor de estas piezas."
"Cazador Collar II.asset","Collar de  Explorator Venator","Los cazadores veteranos reconocen al instante el valor de estas piezas."
"Cazador Collar III.asset","Collar de Explorator Praedator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Escudo I.asset","Escudo de Explorator Peregrinus","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Escudo II.asset","Escudo de Explorator Venator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Escudo III.asset","Escudo de Explorator Praedator","Los cazadores veteranos reconocen al instante el valor de estas piezas."
"Cazador Guantes I.asset","Guantes de Explorator Peregrinus","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Guantes II.asset","Guantes de Explorator Venator","Los cazadores veteranos reconocen al instante el valor de estas piezas."
"Cazador Guantes III.asset","Guantes de Explorator Praedator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Montura I.asset","Montura de Explorator Peregrinus","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Cazador Montura II.asset","Montura de Explorator Venator","Los cazadores veteranos reconocen al instante el valor de estas piezas."
"Cazador Montura III.asset","Montura de Explorator Praedator","Los depredadores mas temidos del reino portan este equipo con orgullo."
"Conquistador Anillo I.asset","Anillo de Legionarius Cohors","Un anillo que otorga la autoridad y el carisma de un conquistador."
"Conquistador Anillo II.asset","Anillo de Legionarius Centuria","El poder de liderazgo se concentra en este anillo de mando."
"Conquistador Anillo III.asset","Anillo de Legionarius Legio","El anillo que marca a quien ha conquistado continentes enteros."
"Conquistador Arma I.asset","Arma de Legionarius Cohors","Imperios enteros han caido ante guerreros equipados con estas armas"
"Conquistador Arma II.asset","Arma de Legionarius Centuria","La victoria es el unico destino para quien porte este equipo glorioso."
"Conquistador Arma III.asset","Arma de Legionarius Legio","El poder de cien victorias resuena en cada fibra de este equipo."
"Conquistador Armadura I.asset","Armadura de Legionarius Cohors","Cada batalla ganada ha fortalecido el espiritu que habita en este"
"Conquistador Armadura II.asset","Armadura de Legionarius Centuria","La victoria es el unico destino para quien porte este equipo glorioso."
"Conquistador Armadura III.asset","Armadura de Legionarius Legio","Imperios enteros han caido ante guerreros equipados con estas armas"
"Conquistador Botas I.asset","Botas de Legionarius Cohors","Cada batalla ganada ha fortalecido el espiritu que habita en este"
"Conquistador Botas II.asset","Botas de Legionarius Centuria","Los conquistadores mas temidos de la historia portaron piezas como"
"Conquistador Botas III.asset","Botas de Legionarius Legio","El poder de cien victorias resuena en cada fibra de este equipo."
"Conquistador Casco I.asset","Casco de Legionarius Cohors","El poder de cien victorias resuena en cada fibra de este equipo."
"Conquistador Casco II.asset","Casco de Legionarius Centuria","Los conquistadores mas temidos de la historia portaron piezas como"
"Conquistador Casco III.asset","Casco de Legionarius Legio","La victoria es el unico destino para quien porte este equipo glorioso."
"Conquistador Cinturon I.asset","CinturÃ³n de Legionarius Cohors","Portado por generales que han conquistado reinos enteros sin conocer"
"Conquistador Cinturon II.asset","CinturÃ³n de Legionarius Centuria","Forjado para aquellos destinados a gobernar sobre las cenizas del"
"Conquistador Cinturon III.asset","CinturÃ³n de Legionarius Legio","Cada batalla ganada ha fortalecido el espiritu que habita en este"
"Conquistador Collar I.asset","Collar de Legionarius Cohors","Un collar forjado con metales de las tierras conquistadas."
"Conquistador Collar II.asset","Collar de Legionarius Centuria","Cada medallon representa una nueva tierra a\xF1adida al imperio."
"Conquistador Collar III.asset","Collar de Legionarius Legio","""El collar del gran conquistador, s\xEDmbolo de dominio sobre reinos"
"Conquistador Escudo I.asset","Escudo de Legionarius Cohors","Portado por generales que han conquistado reinos enteros sin conocer"
"Conquistador Escudo II.asset","Escudo de Legionarius Centuria","La victoria es el unico destino para quien porte este equipo glorioso."
"Conquistador Escudo III.asset","Escudo de Legionarius Legio","El poder de cien victorias resuena en cada fibra de este equipo."
"Conquistador Guantes I.asset","Guantes de Legionarius Cohors","Imperios enteros han caido ante guerreros equipados con estas armas"
"Conquistador Guantes II.asset","Guantes de Legionarius Centuria","Imperios enteros han caido ante guerreros equipados con estas armas"
"Conquistador Guantes III.asset","Guantes de Legionarius Legio","El poder de cien victorias resuena en cada fibra de este equipo."
"Conquistador Montura I.asset","Montura de Legionarius Cohors","Un corcel de guerra que ha visto innumerables batallas y conquistas."
"Conquistador Montura II.asset","Montura de Legionarius Centuria","La montura que ha llevado a su jinete a la victoria en tierras lejanas."
"Conquistador Montura III.asset","Montura de Legionarius Legio","El corcel legendario que los bardos cantan en sus historias de conquista."
"Fantasma Anillo I.asset","Anillo de Speculator Umbra","Un anillo que conecta al portador con el reino de los espiritus."
"Fantasma Anillo II.asset","Anillo de Speculator Silentium","La frontera entre vida y muerte se desvanece al portar este anillo."
"Fantasma Anillo III.asset","Anillo de Speculator Occultus","El anillo del necromante, que otorga poder sobre las almas perdidas."
"Fantasma Arma I.asset","Arma de Speculator Umbra","Los espiritus errantes susurran secretos a quien porte este equipo"
"Fantasma Arma II.asset","Arma de Speculator Silentium","Permite a su portador caminar entre las sombras del mundo espectral."
"Fantasma Arma III.asset","Arma de Speculator Occultus","Forjado entre los velos del mundo de los vivos y los muertos."
"Fantasma Armadura I.asset","Armadura de Speculator Umbra","Translucido como la niebla del amanecer sobre los campos de batalla."
"Fantasma Armadura II.asset","Armadura de Speculator Silentium","Creado con esencia de almas que buscan redimir sus pecados pasados."
"Fantasma Armadura III.asset","Armadura de Speculator Occultus","Forjado entre los velos del mundo de los vivos y los muertos."
"Fantasma Botas I.asset","Botas de Speculator Umbra","Los fantasmas del pasado otorgan su bendicion a este equipo antiguo."
"Fantasma Botas II.asset","Botas de Speculator Silentium","Translucido como la niebla del amanecer sobre los campos de batalla."
"Fantasma Botas III.asset","Botas de Speculator Occultus","Creado con esencia de almas que buscan redimir sus pecados pasados."
"Fantasma Casco I.asset","Casco de Speculator Umbra","Entre la vida y la muerte existe poder que pocos pueden comprender."
"Fantasma Casco II.asset","Casco de Speculator Silentium","Forjado entre los velos del mundo de los vivos y los muertos."
"Fantasma Casco III.asset","Casco de Speculator Occultus","Los espiritus errantes susurran secretos a quien porte este equipo"
"Fantasma Cinturon I.asset","CinturÃ³n de Speculator Umbra","Permite a su portador caminar entre las sombras del mundo espectral."
"Fantasma Cinturon II.asset","CinturÃ³n de Speculator Silentium","Los fantasmas del pasado otorgan su bendicion a este equipo antiguo."
"Fantasma Cinturon III.asset","CinturÃ³n de Speculator Occultus","Translucido como la niebla del amanecer sobre los campos de batalla."
"Fantasma Collar I.asset","Collar de Speculator Umbra","Un collar que guarda los ecos de las almas que han partido."
"Fantasma Collar II.asset","Collar de Speculator Silentium","Cada medallon contiene el recuerdo de un espiritu que otorga su bendicion."
"Fantasma Collar III.asset","Collar de Speculator Occultus","El collar del medium, que permite comunicarse con los espiritus del"
"Fantasma Escudo I.asset","Escudo de Speculator Umbra","Creado con esencia de almas que buscan redimir sus pecados pasados."
"Fantasma Escudo II.asset","Escudo de Speculator Silentium","Los fantasmas del pasado otorgan su bendicion a este equipo antiguo."
"Fantasma Escudo III.asset","Escudo de Speculator Occultus","Los espiritus errantes susurran secretos a quien porte este equipo"
"Fantasma Guantes I.asset","Guantes de Speculator Umbra","Forjado entre los velos del mundo de los vivos y los muertos."
"Fantasma Guantes II.asset","Guantes de Speculator Silentium","Forjado entre los velos del mundo de los vivos y los muertos."
"Fantasma Guantes III.asset","Guantes de Speculator Occultus","Los fantasmas del pasado otorgan su bendicion a este equipo antiguo."
"Fantasma Montura I.asset","Montura de Speculator Umbra","Un corcel espectral que se desliza entre las sombras como un susurro."
"Fantasma Montura II.asset","Montura de Speculator Silentium","La montura fantasma que puede atravesar barreras y aparecer de la"
"Fantasma Montura III.asset","Montura de Speculator Occultus","El corcel del mas alla, que lleva a su jinete entre el mundo de los"
"Heroe Anillo I.asset","Anillo de Roma Virtus","Un anillo que canaliza el coraje y la determinacion del heroe."
"Heroe Anillo II.asset","Anillo de Roma Honor","La valentia del portador se refleja en el brillo heroico del anillo."
"Heroe Anillo III.asset","Anillo de Roma Gloria","El anillo del heroe epico, que otorga la fuerza para cambiar el destino."
"Heroe Arma I.asset","Arma de Roma Virtus","Forjado para aquellos cuyas hazanias seran recordadas por mil generaciones."
"Heroe Arma II.asset","Arma de Roma Honor","La gloria eterna aguarda a quien sea digno de portar este equipo heroico."
"Heroe Arma III.asset","Arma de Roma Gloria","Creado para protagonizar las historias que los ninos escucharan antes"
"Heroe Armadura I.asset","Armadura de Roma Virtus","Creado para protagonizar las historias que los ninos escucharan antes"
"Heroe Armadura II.asset","Armadura de Roma Honor","El destino de reinos enteros ha cambiado gracias a este equipo sagrado."
"Heroe Armadura III.asset","Armadura de Roma Gloria","Los bardos cantan sobre los heroes que portaron este equipo en batallas"
"Heroe Botas I.asset","Botas de Roma Virtus","El destino de reinos enteros ha cambiado gracias a este equipo sagrado."
"Heroe Botas II.asset","Botas de Roma Honor","Los bardos cantan sobre los heroes que portaron este equipo en batallas"
"Heroe Botas III.asset","Botas de Roma Gloria","Creado para protagonizar las historias que los ninos escucharan antes"
"Heroe Casco I.asset","Casco de Roma Virtus","Los heroes de las leyendas antiguas sonrien desde el mas alla sobre"
"Heroe Casco II.asset","Casco de Roma Honor","Forjado para aquellos cuyas hazanias seran recordadas por mil generaciones."
"Heroe Casco III.asset","Casco de Roma Gloria","Forjado para aquellos cuyas hazanias seran recordadas por mil generaciones."
"Heroe Cinturon I.asset","CinturÃ³n de Roma Virtus","Cada heroe legendario de la historia ha dejado su marca en estas piezas."
"Heroe Cinturon II.asset","CinturÃ³n de Roma Honor","Los heroes de las leyendas antiguas sonrien desde el mas alla sobre"
"Heroe Cinturon III.asset","CinturÃ³n de Roma Gloria","Los heroes de las leyendas antiguas sonrien desde el mas alla sobre"
"Heroe Collar I.asset","Collar de Roma Virtus","Un collar que guarda las memorias de las haza\xF1as heroicas realizadas."
"Heroe Collar II.asset","Collar de Roma Honor","Cada medallon representa una batalla ganada y una vida salvada."
"Heroe Collar III.asset","Collar de Roma Gloria","El collar del heroe legendario, cuyas historias inspiraran a generaciones"
"Heroe Escudo I.asset","Escudo de Roma Virtus","El destino de reinos enteros ha cambiado gracias a este equipo sagrado."
"Heroe Escudo II.asset","Escudo de Roma Honor","Cada heroe legendario de la historia ha dejado su marca en estas piezas."
"Heroe Escudo III.asset","Escudo de Roma Gloria","Cada heroe legendario de la historia ha dejado su marca en estas piezas."
"Heroe Guantes I.asset","Guantes de Roma Virtus","Los bardos cantan sobre los heroes que portaron este equipo en batallas"
"Heroe Guantes II.asset","Guantes de Roma Honor","Cada heroe legendario de la historia ha dejado su marca en estas piezas."
"Heroe Guantes III.asset","Guantes de Roma Gloria","Cada heroe legendario de la historia ha dejado su marca en estas piezas."
"Heroe Montura I.asset","Montura de Roma Virtus","""El corcel que ha llevado a heroes a trav\xE9s de las mas grandes"
"Heroe Montura II.asset","Montura de Roma Honor","Una montura digna de las leyendas que los bardos cantaran por generaciones."
"Heroe Montura III.asset","Montura de Roma Gloria","""El corcel heroico que ha presenciado haza\xF1as que cambiaron el"
"Serafin Anillo I.asset","Anillo de Pontifex Sacrum","Un anillo que canaliza la luz divina de los serafines."
"Serafin Anillo II.asset","Anillo de Pontifex Divinus","La gracia celestial fluye a trav\xE9s de este anillo sagrado."
"Serafin Anillo III.asset","Anillo de Pontifex Sanctus","El anillo de los serafines, que otorga poder sobre las fuerzas divinas."
"Serafin Arma I.asset","Arma de Pontifex Sacrum","La luz divina emana de cada superficie de este equipo sagrado y puro."
"Serafin Arma II.asset","Arma de Pontifex Divinus","Forjado en los talleres del cielo donde los angeles crean armas divinas."
"Serafin Arma III.asset","Arma de Pontifex Sanctus","Creado con la esencia de estrellas caidas y bendiciones de seres divinos."
"Serafin Armadura I.asset","Armadura de Pontifex Sacrum","Bendecido por los serafines que guardan las puertas del reino celestial."
"Serafin Armadura II.asset","Armadura de Pontifex Divinus","La luz divina emana de cada superficie de este equipo sagrado y puro."
"Serafin Armadura III.asset","Armadura de Pontifex Sanctus","Creado con la esencia de estrellas caidas y bendiciones de seres divinos."
"Serafin Botas I.asset","Botas de Pontifex Sacrum","Creado con la esencia de estrellas caidas y bendiciones de seres divinos."
"Serafin Botas II.asset","Botas de Pontifex Divinus","Solo aquellos de corazon puro pueden empuniar este equipo celestial"
